"age_years","age_months","type","percentile","value"
0,0,"headcircumference","P3",32.32
0.0833333333333333,1,"headcircumference","P3",34.94
0.166666666666667,2,"headcircumference","P3",36.65
0.25,3,"headcircumference","P3",37.85
0.333333333333333,4,"headcircumference","P3",38.71
0.416666666666667,5,"headcircumference","P3",39.54
0.5,6,"headcircumference","P3",40.32
0.583333333333333,7,"headcircumference","P3",41.01
0.666666666666667,8,"headcircumference","P3",41.61
0.75,9,"headcircumference","P3",42.11
0.833333333333333,10,"headcircumference","P3",42.53
0.916666666666667,11,"headcircumference","P3",42.88
1,12,"headcircumference","P3",43.18
1.25,15,"headcircumference","P3",43.95
1.5,18,"headcircumference","P3",44.56
1.75,21,"headcircumference","P3",45.03
2,24,"headcircumference","P3",45.45
2.5,30,"headcircumference","P3",46.19
3,36,"headcircumference","P3",46.71
3.5,42,"headcircumference","P3",47.07
4,48,"headcircumference","P3",47.38
4.5,54,"headcircumference","P3",47.69
5,60,"headcircumference","P3",48.01
5.5,66,"headcircumference","P3",48.31
6,72,"headcircumference","P3",48.58
6.5,78,"headcircumference","P3",48.81
7,84,"headcircumference","P3",48.99
7.5,90,"headcircumference","P3",49.14
8,96,"headcircumference","P3",49.29
8.5,102,"headcircumference","P3",49.47
9,108,"headcircumference","P3",49.66
9.5,114,"headcircumference","P3",49.87
10,120,"headcircumference","P3",50.12
10.5,126,"headcircumference","P3",50.37
11,132,"headcircumference","P3",50.61
11.5,138,"headcircumference","P3",50.84
12,144,"headcircumference","P3",51.07
12.5,150,"headcircumference","P3",51.31
13,156,"headcircumference","P3",51.53
13.5,162,"headcircumference","P3",51.72
14,168,"headcircumference","P3",51.86
14.5,174,"headcircumference","P3",51.94
15,180,"headcircumference","P3",51.99
15.5,186,"headcircumference","P3",52.03
16,192,"headcircumference","P3",52.07
16.5,198,"headcircumference","P3",52.08
17,204,"headcircumference","P3",52.1
17.5,210,"headcircumference","P3",52.14
18,216,"headcircumference","P3",52.19
0,0,"headcircumference","P10",33.03
0.0833333333333333,1,"headcircumference","P10",35.6
0.166666666666667,2,"headcircumference","P10",37.28
0.25,3,"headcircumference","P10",38.46
0.333333333333333,4,"headcircumference","P10",39.33
0.416666666666667,5,"headcircumference","P10",40.18
0.5,6,"headcircumference","P10",40.97
0.583333333333333,7,"headcircumference","P10",41.67
0.666666666666667,8,"headcircumference","P10",42.28
0.75,9,"headcircumference","P10",42.79
0.833333333333333,10,"headcircumference","P10",43.22
0.916666666666667,11,"headcircumference","P10",43.58
1,12,"headcircumference","P10",43.88
1.25,15,"headcircumference","P10",44.67
1.5,18,"headcircumference","P10",45.29
1.75,21,"headcircumference","P10",45.77
2,24,"headcircumference","P10",46.2
2.5,30,"headcircumference","P10",46.95
